Rainfall - (MM), Year, Statistics, Country, ISO3
5.29632, 1928, Feb Average, Saudi Arabia, SAU
9.39679, 1928, Mar Average, Saudi Arabia, SAU
13.0979, 1928, Apr Average, Saudi Arabia, SAU
7.25661, 1928, May Average, Saudi Arabia, SAU
1.86003, 1928, Jun Average, Saudi Arabia, SAU
3.53787, 1928, Jul Average, Saudi Arabia, SAU
3.36118, 1928, Aug Average, Saudi Arabia, SAU
1.02659, 1928, Sep Average, Saudi Arabia, SAU
1.82443, 1928, Oct Average, Saudi Arabia, SAU
7.26324, 1928, Nov Average, Saudi Arabia, SAU
7.26611, 1928, Dec Average, Saudi Arabia, SAU
5.3614, 1929, Jan Average, Saudi Arabia, SAU
6.65793, 1929, Feb Average, Saudi Arabia, SAU
9.49679, 1929, Mar Average, Saudi Arabia, SAU
23.9746, 1929, Apr Average, Saudi Arabia, SAU
7.28219, 1929, May Average, Saudi Arabia, SAU
1.86474, 1929, Jun Average, Saudi Arabia, SAU
4.2562, 1929, Jul Average, Saudi Arabia, SAU
3.32706, 1929, Aug Average, Saudi Arabia, SAU
0.9904, 1929, Sep Average, Saudi Arabia, SAU
1.6952, 1929, Oct Average, Saudi Arabia, SAU
6.33028, 1929, Nov Average, Saudi Arabia, SAU
10.527, 1929, Dec Average, Saudi Arabia, SAU
6.51868, 1930, Jan Average, Saudi Arabia, SAU
4.56981, 1930, Feb Average, Saudi Arabia, SAU
9.0288, 1930, Mar Average, Saudi Arabia, SAU
15.1024, 1930, Apr Average, Saudi Arabia, SAU
7.21314, 1930, May Average, Saudi Arabia, SAU
1.8594, 1930, Jun Average, Saudi Arabia, SAU
3.55643, 1930, Jul Average, Saudi Arabia, SAU
5.4942, 1930, Aug Average, Saudi Arabia, SAU
1.30233, 1930, Sep Average, Saudi Arabia, SAU
1.83093, 1930, Oct Average, Saudi Arabia, SAU
5.47927, 1930, Nov Average, Saudi Arabia, SAU
7.04938, 1930, Dec Average, Saudi Arabia, SAU
7.60336, 1931, Jan Average, Saudi Arabia, SAU
11.4729, 1931, Feb Average, Saudi Arabia, SAU
9.02825, 1931, Mar Average, Saudi Arabia, SAU
17.6614, 1931, Apr Average, Saudi Arabia, SAU
7.53868, 1931, May Average, Saudi Arabia, SAU
1.93604, 1931, Jun Average, Saudi Arabia, SAU
3.59251, 1931, Jul Average, Saudi Arabia, SAU
3.72639, 1931, Aug Average, Saudi Arabia, SAU
1.6309, 1931, Sep Average, Saudi Arabia, SAU
1.78834, 1931, Oct Average, Saudi Arabia, SAU
6.02097, 1931, Nov Average, Saudi Arabia, SAU
5.5056, 1931, Dec Average, Saudi Arabia, SAU
5.02696, 1932, Jan Average, Saudi Arabia, SAU
4.61941, 1932, Feb Average, Saudi Arabia, SAU
13.5395, 1932, Mar Average, Saudi Arabia, SAU
13.4089, 1932, Apr Average, Saudi Arabia, SAU
11.9539, 1932, May Average, Saudi Arabia, SAU
1.92516, 1932, Jun Average, Saudi Arabia, SAU
3.93192, 1932, Jul Average, Saudi Arabia, SAU
6.51566, 1932, Aug Average, Saudi Arabia, SAU
1.05102, 1932, Sep Average, Saudi Arabia, SAU
1.87737, 1932, Oct Average, Saudi Arabia, SAU
5.57796, 1932, Nov Average, Saudi Arabia, SAU
11.2469, 1932, Dec Average, Saudi Arabia, SAU
6.41326, 1933, Jan Average, Saudi Arabia, SAU
5.68523, 1933, Feb Average, Saudi Arabia, SAU
9.84603, 1933, Mar Average, Saudi Arabia, SAU
18.8633, 1933, Apr Average, Saudi Arabia, SAU
9.31936, 1933, May Average, Saudi Arabia, SAU
1.9528, 1933, Jun Average, Saudi Arabia, SAU
4.1554, 1933, Jul Average, Saudi Arabia, SAU
4.5346, 1933, Aug Average, Saudi Arabia, SAU
1.19258, 1933, Sep Average, Saudi Arabia, SAU
2.04052, 1933, Oct Average, Saudi Arabia, SAU
6.11992, 1933, Nov Average, Saudi Arabia, SAU
4.43871, 1933, Dec Average, Saudi Arabia, SAU
5.27416, 1934, Jan Average, Saudi Arabia, SAU
5.70041, 1934, Feb Average, Saudi Arabia, SAU
16.2033, 1934, Mar Average, Saudi Arabia, SAU
15.9856, 1934, Apr Average, Saudi Arabia, SAU
7.56725, 1934, May Average, Saudi Arabia, SAU
2.25302, 1934, Jun Average, Saudi Arabia, SAU
