Rainfall - (MM), Year, Statistics, Country, ISO3
36.4305, 1937, Oct Average, Belarus, BLR
60.5762, 1937, Nov Average, Belarus, BLR
77.1873, 1937, Dec Average, Belarus, BLR
36.8052, 1938, Jan Average, Belarus, BLR
14.7685, 1938, Feb Average, Belarus, BLR
39.1284, 1938, Mar Average, Belarus, BLR
55.5693, 1938, Apr Average, Belarus, BLR
53.0148, 1938, May Average, Belarus, BLR
57.4931, 1938, Jun Average, Belarus, BLR
106.714, 1938, Jul Average, Belarus, BLR
44.9726, 1938, Aug Average, Belarus, BLR
37.6456, 1938, Sep Average, Belarus, BLR
64.3328, 1938, Oct Average, Belarus, BLR
43.3511, 1938, Nov Average, Belarus, BLR
30.1639, 1938, Dec Average, Belarus, BLR
47.5637, 1939, Jan Average, Belarus, BLR
39.6059, 1939, Feb Average, Belarus, BLR
27.4294, 1939, Mar Average, Belarus, BLR
47.7857, 1939, Apr Average, Belarus, BLR
74.3082, 1939, May Average, Belarus, BLR
60.1256, 1939, Jun Average, Belarus, BLR
72.2595, 1939, Jul Average, Belarus, BLR
20.5491, 1939, Aug Average, Belarus, BLR
41.6666, 1939, Sep Average, Belarus, BLR
69.7854, 1939, Oct Average, Belarus, BLR
47.8059, 1939, Nov Average, Belarus, BLR
39.4799, 1939, Dec Average, Belarus, BLR
31.0292, 1940, Jan Average, Belarus, BLR
48.3328, 1940, Feb Average, Belarus, BLR
42.9513, 1940, Mar Average, Belarus, BLR
24.2038, 1940, Apr Average, Belarus, BLR
53.0013, 1940, May Average, Belarus, BLR
25.4943, 1940, Jun Average, Belarus, BLR
98.4688, 1940, Jul Average, Belarus, BLR
110.483, 1940, Aug Average, Belarus, BLR
80.849, 1940, Sep Average, Belarus, BLR
32.4376, 1940, Oct Average, Belarus, BLR
50.8305, 1940, Nov Average, Belarus, BLR
24.8028, 1940, Dec Average, Belarus, BLR
27.177, 1941, Jan Average, Belarus, BLR
44.7343, 1941, Feb Average, Belarus, BLR
31.3516, 1941, Mar Average, Belarus, BLR
51.0822, 1941, Apr Average, Belarus, BLR
65.4224, 1941, May Average, Belarus, BLR
51.741, 1941, Jun Average, Belarus, BLR
71.9676, 1941, Jul Average, Belarus, BLR
80.4845, 1941, Aug Average, Belarus, BLR
32.7509, 1941, Sep Average, Belarus, BLR
54.2699, 1941, Oct Average, Belarus, BLR
23.2856, 1941, Nov Average, Belarus, BLR
43.7106, 1941, Dec Average, Belarus, BLR
27.999, 1942, Jan Average, Belarus, BLR
24.7612, 1942, Feb Average, Belarus, BLR
13.588, 1942, Mar Average, Belarus, BLR
36.4124, 1942, Apr Average, Belarus, BLR
59, 1942, May Average, Belarus, BLR
69.0033, 1942, Jun Average, Belarus, BLR
97.6502, 1942, Jul Average, Belarus, BLR
27.8885, 1942, Aug Average, Belarus, BLR
39.1693, 1942, Sep Average, Belarus, BLR
30.8441, 1942, Oct Average, Belarus, BLR
20.2031, 1942, Nov Average, Belarus, BLR
34.8331, 1942, Dec Average, Belarus, BLR
35.4942, 1943, Jan Average, Belarus, BLR
31.2877, 1943, Feb Average, Belarus, BLR
18.4744, 1943, Mar Average, Belarus, BLR
37.6973, 1943, Apr Average, Belarus, BLR
64.433, 1943, May Average, Belarus, BLR
73.4055, 1943, Jun Average, Belarus, BLR
156.575, 1943, Jul Average, Belarus, BLR
56.618, 1943, Aug Average, Belarus, BLR
61.2605, 1943, Sep Average, Belarus, BLR
14.877, 1943, Oct Average, Belarus, BLR
49.5367, 1943, Nov Average, Belarus, BLR
29.1342, 1943, Dec Average, Belarus, BLR
39.2186, 1944, Jan Average, Belarus, BLR
33.6809, 1944, Feb Average, Belarus, BLR
45.7571, 1944, Mar Average, Belarus, BLR
33.9759, 1944, Apr Average, Belarus, BLR
75.8567, 1944, May Average, Belarus, BLR
86.3218, 1944, Jun Average, Belarus, BLR
63.2034, 1944, Jul Average, Belarus, BLR
53.4368, 1944, Aug Average, Belarus, BLR
37.9381, 1944, Sep Average, Belarus, BLR
25.3597, 1944, Oct Average, Belarus, BLR
75.324, 1944, Nov Average, Belarus, BLR
14.2284, 1944, Dec Average, Belarus, BLR
29.1026, 1945, Jan Average, Belarus, BLR
22.9316, 1945, Feb Average, Belarus, BLR
24.735, 1945, Mar Average, Belarus, BLR
49.3811, 1945, Apr Average, Belarus, BLR
63.5299, 1945, May Average, Belarus, BLR
54.5736, 1945, Jun Average, Belarus, BLR
131.787, 1945, Jul Average, Belarus, BLR
93.0294, 1945, Aug Average, Belarus, BLR
74.929, 1945, Sep Average, Belarus, BLR
46.7109, 1945, Oct Average, Belarus, BLR
26.723, 1945, Nov Average, Belarus, BLR
26.3299, 1945, Dec Average, Belarus, BLR
16.9264, 1946, Jan Average, Belarus, BLR
33.862, 1946, Feb Average, Belarus, BLR
30.1556, 1946, Mar Average, Belarus, BLR
18.9738, 1946, Apr Average, Belarus, BLR
25.2215, 1946, May Average, Belarus, BLR
96.0797, 1946, Jun Average, Belarus, BLR
65.5166, 1946, Jul Average, Belarus, BLR
72.7798, 1946, Aug Average, Belarus, BLR
74.0325, 1946, Sep Average, Belarus, BLR
41.054, 1946, Oct Average, Belarus, BLR
25.7548, 1946, Nov Average, Belarus, BLR
11.3248, 1946, Dec Average, Belarus, BLR
18.7681, 1947, Jan Average, Belarus, BLR
38.1318, 1947, Feb Average, Belarus, BLR
42.7757, 1947, Mar Average, Belarus, BLR
48.4161, 1947, Apr Average, Belarus, BLR
28.3214, 1947, May Average, Belarus, BLR
72.3906, 1947, Jun Average, Belarus, BLR
89.299, 1947, Jul Average, Belarus, BLR
109.033, 1947, Aug Average, Belarus, BLR
43.6725, 1947, Sep Average, Belarus, BLR
26.889, 1947, Oct Average, Belarus, BLR
66.1186, 1947, Nov Average, Belarus, BLR
68.4504, 1947, Dec Average, Belarus, BLR
66.2465, 1948, Jan Average, Belarus, BLR
21.4451, 1948, Feb Average, Belarus, BLR
24.6225, 1948, Mar Average, Belarus, BLR
23.5843, 1948, Apr Average, Belarus, BLR
74.9092, 1948, May Average, Belarus, BLR
110.153, 1948, Jun Average, Belarus, BLR
82.5426, 1948, Jul Average, Belarus, BLR
67.9729, 1948, Aug Average, Belarus, BLR
52.6805, 1948, Sep Average, Belarus, BLR
47.4786, 1948, Oct Average, Belarus, BLR
35.5026, 1948, Nov Average, Belarus, BLR
10.9893, 1948, Dec Average, Belarus, BLR
31.9725, 1949, Jan Average, Belarus, BLR
20.5048, 1949, Feb Average, Belarus, BLR
30.6853, 1949, Mar Average, Belarus, BLR
39.9507, 1949, Apr Average, Belarus, BLR
33.8468, 1949, May Average, Belarus, BLR
110.299, 1949, Jun Average, Belarus, BLR
99.9116, 1949, Jul Average, Belarus, BLR
87.1051, 1949, Aug Average, Belarus, BLR
20.5789, 1949, Sep Average, Belarus, BLR
21.8058, 1949, Oct Average, Belarus, BLR
42.8886, 1949, Nov Average, Belarus, BLR
